Program_Name,URL
"Ethics, Society and Law",https://future.utoronto.ca/undergraduate-programs/ethics-society-and-law/
European Studies,https://future.utoronto.ca/undergraduate-programs/european-studies/
European Union Studies,https://future.utoronto.ca/undergraduate-programs/european-union-studies/
Exceptionality in Human Learning,https://future.utoronto.ca/undergraduate-programs/exceptionality-in-human-learning/
Financial Economics,https://future.utoronto.ca/undergraduate-programs/financial-economics/
Finnish Studies,https://future.utoronto.ca/undergraduate-programs/finnish-studies/
Food Studies,https://future.utoronto.ca/undergraduate-programs/food-studies/
Forensic Anthropology,https://future.utoronto.ca/undergraduate-programs/forensic-anthropology/
Forensic Biology,https://future.utoronto.ca/undergraduate-programs/forensic-biology/
Forensic Chemistry,https://future.utoronto.ca/undergraduate-programs/forensic-chemistry/
Forensic Psychology,https://future.utoronto.ca/undergraduate-programs/forensic-psychology/
Forensic Science,https://future.utoronto.ca/undergraduate-programs/forensic-science/
Forest Conservation,https://future.utoronto.ca/undergraduate-programs/forest-conservation/
Forest Conservation Science,https://future.utoronto.ca/undergraduate-programs/forest-conservation-science/
Francophone Studies,https://future.utoronto.ca/undergraduate-programs/francophone-studies/
French,https://future.utoronto.ca/undergraduate-programs/french/
Genome Biology,https://future.utoronto.ca/undergraduate-programs/genome-biology/
Geographic Information Science,https://future.utoronto.ca/undergraduate-programs/geographic-information-science/
Geographical Information Systems,https://future.utoronto.ca/undergraduate-programs/geographical-information-systems/
Geography (HBA),https://future.utoronto.ca/undergraduate-programs/geography-hba/
Geography (HBSc),https://future.utoronto.ca/undergraduate-programs/geography/
Geography: Human,https://future.utoronto.ca/undergraduate-programs/geography-human/
Geology,https://future.utoronto.ca/undergraduate-programs/geology/
Geophysics,https://future.utoronto.ca/undergraduate-programs/geophysics/
Geoscience,https://future.utoronto.ca/undergraduate-programs/geoscience/
German Studies,https://future.utoronto.ca/undergraduate-programs/german-studies/
Global Asia Studies,https://future.utoronto.ca/undergraduate-programs/global-asia-studies/
Global Environmental Change,https://future.utoronto.ca/undergraduate-programs/global-environmental-change/
Global Environmental Change (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/global-environmental-change-health-sciences-stream/
Greek,https://future.utoronto.ca/undergraduate-programs/greek/
Health Humanities,https://future.utoronto.ca/undergraduate-programs/health-humanities/
